State,Governor,Party,Speech
Alabama,Kay Ivey,Republican,"Since then, Arrington has excelled. She is a recipient of the Aspirations in Computer Science Award for Alabama. She is an advocate for computer science education and girls in computer science. She wants to use her passion to help address the gender and race gaps that exist in computer science education. Arrington has spoken to numerous groups of parents and educators and was invited by the National Center for Women in IT to share her experiences at large. She plans to major in computer science in college."
Alabama,Kay Ivey,Republican,"Arrington represents my vision for education in our state. It was in a classroom where she discovered her niche, and through the guidance of her dedicated teachers and her own hard work, this young lady is headed into a very promising future. Arrington, could you please stand to be recognized?"
Alabama,Kay Ivey,Republican,Equipping our students with the proper skills and education to fill high-demand jobs is essential to ensure their strong finish.
Alabama,Kay Ivey,Republican,"Part of my mission for the state, is to carve a path for our students to enter the workforce, highly-skilled and well-equipped. To further our efforts, I am asking the Legislature to fund our new co-op program for Alabama’s Historically Black Colleges and Universities."
Alabama,Kay Ivey,Republican,"It is geared specifically toward Alabama’s HBCU students interested in pursuing careers in the science, technology, engineering and mathematics fields. It is not only a win for these students; it’s a win for these colleges and universities. And it’s a win for our employers who are gaining qualified individuals to strengthen the work of their company."
Alabama,Kay Ivey,Republican,"Each year, uses for the internet grow more dynamic. Delivering high speed broadband access is absolutely necessary. Last year, through the Alabama Broadband Accessibility Act, we connected broadband in seven counties."
Alabama,Kay Ivey,Republican,"One notable example is in Choctaw County. Within the next two years, more than 700 residences and businesses will have access to high-speed internet service."
Alabama,Kay Ivey,Republican,"Thanks to this grant program, living in rural Alabama does not mean being cut out! This is a major step forward for education, for economic prosperity and for the entire state of Alabama!"
Alabama,Kay Ivey,Republican,"In our efforts to meet the current and future needs of business and industry, I have established the Governor’s Office of Education and Workforce Transformation. The focus will be solely on aligning our workforce development funding streams to create the most effective workforce development programs for Alabamians across the state."
Alabama,Kay Ivey,Republican,"Since we met last year, we have been ambitious in our efforts to improve Alabama’s education system and are now on our way to providing all our students a quality education."
Alabama,Kay Ivey,Republican,Each of us has our own story to tell.
Alabama,Kay Ivey,Republican,"My own story began in the public schools of rural Wilcox County, Alabama."
Alabama,Kay Ivey,Republican,"I graduated from high school in a class that had 35 students. My surroundings at Auburn University would look a whole lot different, though. Instead of a class of 35, I would be one in a college of more than 12,000. My Wilcox County upbringing would be put side by side with some of the smartest young people from bigger schools in larger cities."
Alabama,Kay Ivey,Republican,"However, I would not allow these challenges to hinder me from achieving success."
Alabama,Kay Ivey,Republican,"So, in the summer before my first semester, I spent a week on campus to walk the grounds to know exactly where my classes would be located and try out for the Auburn University Marching Band."
Alabama,Kay Ivey,Republican,"Benjamin Franklin said it best, “If you fail to plan, you’re planning to fail.”"
Alabama,Kay Ivey,Republican,I worked hard and planned for success.
Alabama,Kay Ivey,Republican,My journey from Wilcox County also brought me to where I stand this evening.
Alabama,Kay Ivey,Republican,"Despite the heavy challenges that lie ahead, we in Alabama must plan for success."
Alabama,Kay Ivey,Republican,Part of planning for that success is ensuring that we have a robust economy and ample public safety. We can help tackle both of these issues with a reasonable increase in the investment we make in our state’s infrastructure system.
Alabama,Kay Ivey,Republican,"Almost three decades have gone by, and Alabama has not made one change to our infrastructure funding."
Alabama,Kay Ivey,Republican,"While our neighboring states are increasing their revenue for their transportation budgets, Alabama has not. We are dead last."
Alabama,Kay Ivey,Republican,"Certainly, motorists are experiencing firsthand the poor conditions of Alabama’s infrastructure."
Alabama,Kay Ivey,Republican,"Each year in Alabama, 69 billion miles are driven on our roadways."
Alabama,Kay Ivey,Republican,We have urban roads in poor condition. Our drivers are experiencing major congestion on our freeways.
Alabama,Kay Ivey,Republican,"County governments currently operate on a 56-year resurfacing schedule; when, in fact, we should be operating on a 15-year rate."
Alabama,Kay Ivey,Republican,"In Alabama, half of our more than 16,000 bridges are older than their 50-year life span."
Alabama,Kay Ivey,Republican,"Bridges should be replaced every 50 years. Yet, county governments are on schedule to replace their bridges every 186 years! Folks, that’s almost as long as Alabama has been a state."
Alabama,Kay Ivey,Republican,"From 2015 to 2017, Alabama saw nearly 3,000 traffic fatalities. One-third of those were due to deficiencies in our roadways."
Alabama,Kay Ivey,Republican,"Each year, $436 billion dollars in goods are shipped to and from businesses using our state’s roadways."
Alabama,Kay Ivey,Republican,"The Port of Mobile, Alabama’s only deep-water port, moves approximately 64 million tons of cargo each year. Deepening and widening the Port will increase Alabama’s economic capability. This will enhance our status as a primary industrial and agricultural hub in the Southeast."
Alabama,Kay Ivey,Republican,"Driving on rough roads costs the average Alabamian $507 dollars annually in additional vehicle maintenance – a total of $2 billion dollars statewide, each year!"
Alabama,Kay Ivey,Republican,That is why we are proposing a 10-cent increase in Alabama’s fuel tax. This increase would be implemented over the next three years.
Alabama,Kay Ivey,Republican,And I want to be crystal clear – this money will be scrutinized and watched over – every single penny. There will be strong accountability measures to make certain these monies are spent solely on transportation infrastructure. Period.
Alabama,Kay Ivey,Republican,"Leading the charge in the Legislature on this issue is Representative Bill Poole. He along with Senator Clyde Chambliss, will guide this legislation over the coming weeks. I thank both of them for their leadership."
Alabama,Kay Ivey,Republican,"Additionally, I have listened to leaders make good points about money being diverted from the Alabama Department of Transportation to supplement our court system and law enforcement agency every year."
Alabama,Kay Ivey,Republican,"I believe we should begin to unwind this outdated approach. And, in fact, the budgets I am presenting will cut this annual transfer in half without hurting the court system or our hardworking state law enforcement officers."
Alabama,Kay Ivey,Republican,"A renewed investment in infrastructure will lead to safer roads, economic prosperity and an enhanced quality of life."
Alabama,Kay Ivey,Republican,"Ladies and Gentlemen, I am willing to call you, the members of the Alabama Legislature, into a special session, if necessary, to focus solely on passing this critical legislation."
Alabama,Kay Ivey,Republican,"Beginning tomorrow, as we enter this special session, we must shift our focus and tackle this issue together!"
Alabama,Kay Ivey,Republican,It’s time to make our crumbling infrastructure system a problem of the past.
Alabama,Kay Ivey,Republican,"This is a challenge that is felt by every Alabamian, clearly making it a bipartisan issue."
Alabama,Kay Ivey,Republican,"As governor, I say enough is enough."
Alabama,Kay Ivey,Republican,Now is the time to Rebuild Alabama.
Alabama,Kay Ivey,Republican,"Another problem that has gone unaddressed for years and years is that of the horrendous conditions of our prisons. Our next step, however, must be to address the issue of understaffing to improve our recruiting and retention efforts."
Alabama,Kay Ivey,Republican,"Alabama is currently under a federal court order requiring the state to roughly double the number of corrections officers over the next two years. If we fail to resolve the apparent issue of understaffing in our prisons, federal courts will dictate what needs to happen in our own state."
Alabama,Kay Ivey,Republican,I am proposing we include an additional $31 million dollars in the General Fund budget. This will allow us to hire 500 new correctional officers and increase the pay scale for all prison security personnel to make their salary competitive. This is an Alabama problem that must have an Alabama solution.
Alabama,Kay Ivey,Republican,"As we move forward, we must continue to wisely use our funds. I am proud that the General Fund budget I am proposing will do just that."
Alabama,Kay Ivey,Republican,"As a positive sign of that progress, Medicaid, under the capable leadership of Commissioner Stephanie Azar, will require $40 million dollars less in 2020 than compared to 2019. The Medicaid program in Alabama is driving efficiency, while being prudent with our taxpayer dollars."
Alabama,Kay Ivey,Republican,I am also proposing an additional $7 million dollars to fund important Mental Health programs in our state.
Alabama,Kay Ivey,Republican,"As governor, I will do everything in my power to make Alabama safer, which is why my General Fund budget includes funding to hire and train 50 additional State Troopers."
Alabama,Kay Ivey,Republican,"I have also included in my budget a 2 percent pay raise for all state employees. These men and women went too long without merit raises, and with the increase last year and the additional increase this year, we are making it right."
Alabama,Kay Ivey,Republican,"Like my General Fund budget, my education budget is practical, while still helping more Alabamians receive the opportunity for a quality education."
Alabama,Kay Ivey,Republican,My education budget will provide $25 million dollars to expand our nationally-recognized First Class Pre-K program. This significant increase will expand the program by 193 classrooms. It will be the largest investment in Alabama First Class Pre-K to date and takes us even closer to providing more of Alabama’s youngest learners a strong start.
Alabama,Kay Ivey,Republican,"Alabama’s institutions of higher education are making major research contributions. They generate significant revenue for our state. They serve as a major part of our identity in Alabama. Most importantly, they are preparing hundreds of thousands of students to enter the workforce."
Alabama,Kay Ivey,Republican,"Because of their significant contributions to our state, my budget provides an increased investment of $75 million dollars to our four-year public colleges and universities. These institutions are essential to the future of our state."
Alabama,Kay Ivey,Republican,"Alabama’s teachers are vital to our students throughout every step of their learning journeys, and they deserve to be the highest paid public employees in our state. That is why, tonight, I am proposing to the Legislature a four percent raise for all teachers: pre-k through community college! Without our teachers, our students cannot achieve success!"
Alabama,Kay Ivey,Republican,The foundation for a strong future for all Alabamians begins in the classroom.
Alabama,Kay Ivey,Republican,"Members, I remind you that our story in Alabama will go long past the time you and I are in office."
Alabama,Kay Ivey,Republican,"When we make improvements to our state’s infrastructure, to our prisons, and to our education system, we are planting a seed of opportunity for Alabama’s next 200 years."
Alabama,Kay Ivey,Republican,"Ladies and gentlemen, I am a governor looking beyond the next four, the next eight or even 10 years."
Alabama,Kay Ivey,Republican,I am a governor leading our state into the next century.
Alabama,Kay Ivey,Republican,"I am all in! And the people of our great state need you, legislators, all in as well."
Alabama,Kay Ivey,Republican,"Democrats, republicans, progressives and conservatives."
Alabama,Kay Ivey,Republican,"To achieve a better future in Alabama, all of us must be willing to build on our successes."
Alabama,Kay Ivey,Republican,We must be willing to overcome our long-neglected issues.
Alabama,Kay Ivey,Republican,"We must be willing to take the next step, because we are Alabama, and this is our time!"
Alabama,Kay Ivey,Republican,May God continue to bless each of you and the great state of Alabama!
Alaska,Mike Dunleavy,Republican,"Thanks, everyone for your gracious welcome. I truly appreciate it. It’s been just seven weeks since I took the oath of office to become the twelfth Governor in the history of our young state."
Alaska,Mike Dunleavy,Republican,"I’m here today because of the People of Alaska, who put their faith in me and in my vision, for our great state."
Alaska,Mike Dunleavy,Republican,Too often leaders seem to forget a simple truth: Government gets all of its authority from the people.
Alaska,Mike Dunleavy,Republican,The Court system has no power – except what the people give.
Alaska,Mike Dunleavy,Republican,The Legislature has no power – except what the people give.
Alaska,Mike Dunleavy,Republican,"The Governor has no power either– except what you, the people of Alaska, give."
Alaska,Mike Dunleavy,Republican,"This evening, as I stand before the People of Alaska, delivering my first State of the State Address, I reflect on where we are as a state, the opportunity before us, and what this point in history means for Alaska."
Alaska,Mike Dunleavy,Republican,"Before I continue, I’d like to take a moment and introduce members of my administration. I would ask them to please stand. Thank you all very much."
Alaska,Mike Dunleavy,Republican,"And now I’d like to introduce someone who is very special to me: my wife of 31 years, the First Lady Rose Dunleavy. Rose is from Northwest Alaska and we were married in the wonderful city of Nome. We have three independent, free-spirited, and very self-reliant daughters: Maggie, Catherine, and Ceil Ann, who love Alaska as much as we do."
Alaska,Mike Dunleavy,Republican,"Like many Alaskans, I enjoy the outdoors, hunting, fishing, and the boundless adventures and opportunities our great state has to offer. Yet, I’m a man who chose education as a career, because I love helping kids and I love learning and teaching."
Alaska,Mike Dunleavy,Republican,"I’m not a career politician. I’ve only been in politics for eight short years — three of those years as a school board member, and five years as a state senator."
Alaska,Mike Dunleavy,Republican,"I’ve always wanted to help people. This is why I went into politics. Last year, I followed my heart and my gut, and decided in order to change the course of our great state, that I would run for governor. And so, I did. And then I was elected."
Alaska,Mike Dunleavy,Republican,"How did this retired teacher get elected governor? Was it my social graces and charm?  Not really. If you ask, me, I’d say the other candidates were much better connected in the social circles, better looking, and far more charming."
Alaska,Mike Dunleavy,Republican,"Was it my eloquent speeches or my debating skills?  Not really. If you ask me, I’d say all the other candidates were smoother and better debaters."
Alaska,Mike Dunleavy,Republican,"Was it because I was the tallest? Well, I do stand out in the crowd a bit, but I don’t think that was it either."
Alaska,Mike Dunleavy,Republican,"I’m Governor today because of the campaign promises I made to the people of Alaska on the issues most of us believe in. I’m here to do exactly what I promised to do, what I told Alaskans I would do."
Alaska,Mike Dunleavy,Republican,"So, here it is:"
Alaska,Mike Dunleavy,Republican,We’re going to declare war on criminals.
Alaska,Mike Dunleavy,Republican,We’re going to get our spending in line with our revenue. This has to be done.
Alaska,Mike Dunleavy,Republican,We’re going to protect Alaskans’ Permanent Fund dividends.
Alaska,Mike Dunleavy,Republican,We’re going to grow our economy and put Alaskans to work.
Alaska,Mike Dunleavy,Republican,And we must restore public trust in government and elected officials.
Alaska,Mike Dunleavy,Republican,"That’s what my plan was last year, and that’s my plan now."
Alaska,Mike Dunleavy,Republican,"But before I could be sworn in, our world shook.  As we know, the second-most damaging earthquake in Alaska’s history struck Southcentral Alaska on November 30,, 2018, with over $100 million in damages."
Alaska,Mike Dunleavy,Republican,"Within hours of the quake, I was down at the State Emergency Operations Center, assessing the situation. I want to thank Governor Walker for working with my team during the process."
Alaska,Mike Dunleavy,Republican,Last month I met with President Trump and had the opportunity to brief him on the earthquake damage and recovery efforts. The President confirmed his strong support. And the congressional delegation and I will work together to hold the federal government to its commitment.
Alaska,Mike Dunleavy,Republican,This is an example of Alaskans coming together to solve significant problems.
Alaska,Mike Dunleavy,Republican,We all feel a deep sense of gratitude to the men and women who served as emergency responders. They are Alaska heroes. There were countless examples of Alaskans who made us proud:  Hospital employees were ready to treat the injured. School teachers kept kids safe and evacuated them from unsafe buildings. And contractors rushed to repair damage to roads and buildings in record time.
Alaska,Mike Dunleavy,Republican,Neighbors helping neighbors. That’s what Alaska is all about.
Alaska,Mike Dunleavy,Republican,"A perfect example of this are two middle schoolers we have with us today: Tor Petersen and Kayana Marquiss. For them, it started out like any other day.  And then it hit. When the quake struck and their school began to shake violently, they knew this was serious."
Alaska,Mike Dunleavy,Republican,"Relying on what Tor was taught by his amazing teachers, he immediately sought safety. But he soon realized one of his classmates needed help. Putting his own safety aside, Tor proceeded to do what heroes do. He took immediate action, grabbed ahold of Kayana and led her to the safest part of the room."
Alaska,Mike Dunleavy,Republican,I would ask Tor and Kayana to please stand and be recognized. You two exemplify what the spirit of Alaska is all about.  I want to thank you both for reminding us that in a time of crisis how good all of us can be to each other.
Alaska,Mike Dunleavy,Republican,"That day, Alaskans demonstrated to the world our resiliency. Alaskans were at their finest."
Alaska,Mike Dunleavy,Republican,"It was a perfect example that together we can overcome anything; that together we will make our streets safe again; that together we will build a permanent fiscal plan; that together, we will protect the Permanent Fund dividend for generations to come. That together, we will restore the trust of the Alaska People in their government and their elected officials."
Alaska,Mike Dunleavy,Republican,"I promised during the campaign to follow the law on the PFD. And that’s exactly what we should do. Alaskans’ PFDs should be paid in full using the law that has worked for decades, and the PFD should be protected in the Constitution, now and for the future."
Alaska,Mike Dunleavy,Republican,"Last week, I introduced two bills for the back-pay owed to Alaskans on their PFDs. I urge you to act swiftly on those bills. Every penny of that PFD money due Alaskans is sitting in the Earnings Reserve Account, and is available for distribution."
Alaska,Mike Dunleavy,Republican,Let’s act now and put this issue behind us once and for all.
Alaska,Mike Dunleavy,Republican,"Now let’s talk about creating a real, honest budget."
Alaska,Mike Dunleavy,Republican,Alaskans believe our state budget process is a mess. There is simply no other way to describe it.
Alaska,Mike Dunleavy,Republican,Why is it a mess?
Alaska,Mike Dunleavy,Republican,"Because our government spending far exceeds the revenue we take in. Kicking the can down the road for years, wiping out billions from savings, and then taxing the PFD, all the while just hoping for another oil boom — it simply doesn’t work."
Alaska,Mike Dunleavy,Republican,"The days of creating a “wish list” budget, where Alaska is more like a reality show — make a wish, have your dream come true — that just isn’t real life."
Alaska,Mike Dunleavy,Republican,"The days when anything and everything is just too important not to fund, and where politicians spend their time looking for ways for you to pay for it? Those days have got to be over. We can no longer spend what we don’t have."
Alaska,Mike Dunleavy,Republican,"We are now preparing a budget that for the first time all Alaskans will be able to understand and trust. No more games, no more shuffling numbers. Just an honest, straightforward look at where we are."
Alaska,Mike Dunleavy,Republican,"While no one person is to blame, Alaskans will quickly see that we’ve been spending wildly beyond our means for years. Our children and grandchildren deserve better."
Alaska,Mike Dunleavy,Republican,"In order to get a handle on the budget, one of my first administrative orders was to centralize the budget-making functions of all departments under the Office of Management and Budget."
Alaska,Mike Dunleavy,Republican,"My administration will be focused on the basic functions of government, while realigning programs and operations to eliminate duplication and prioritize each agency’s core mission."
Alaska,Mike Dunleavy,Republican,"My first budget is going to be an honest budget. As I promised the people, we must start from the standpoint that expenditures must equal revenue. We can’t go on forever using savings to plug the budget gap."
Alaska,Mike Dunleavy,Republican,"But that’s only part of the solution. In order to address the fiscal issues that have plagued our state for years, we need a permanent fiscal plan, a plan that will put our state on solid footing for decades to come."
Alaska,Mike Dunleavy,Republican,"To be fair, this isn’t a new struggle for our state, we’ve struggled with this before. When Alaska first became flush with oil money from Prudhoe Bay, many were focused on spending as much as possible."
Alaska,Mike Dunleavy,Republican,"However, there were some in the Legislature, even back then, who were concerned about where we were headed."
Alaska,Mike Dunleavy,Republican,"I’d like to take a moment to introduce Dick Randolph from Fairbanks.  Dick is a former teacher, an insurance agent and a retired legislator, who in the 1970s and early 1980s had the foresight to understand that the People of Alaska, through constitutional amendments and the initative process, could help us control our spending and develop a sustainable fiscal plan."
Alaska,Mike Dunleavy,Republican,"Enlightened legislators, such as Representative Randolph, trusting the People of Alaska, put forth a number of constitutional amendments, including the Permanent Fund, to try to bring order to the spending mania."
Alaska,Mike Dunleavy,Republican,"Representative Randolph, please stand. I want to thank you for your foresight and wisdom, coupled with the belief that the people, individual Alaskans, through constitutional amendments, are the key to securing Alaska’s future. Thank you, Dick."
Alaska,Mike Dunleavy,Republican,"And for those of us in the room today, we have an opportunity to work together and complete the process those enlightened legislators started many decades ago."
Alaska,Mike Dunleavy,Republican,"Therefore, next week I will introduce three constitutional amendments, which will be the foundation of a permanent fiscal plan."
Alaska,Mike Dunleavy,Republican,"If we wish to win the People’s trust, we must trust the People. This fiscal plan is empowered by the People, for the People:"
Alaska,Mike Dunleavy,Republican,"First, a spending limit and savings plan that will keep politicians from spending every penny we have, one that allows us to save excess revenue when possible for future Alaskans."
Alaska,Mike Dunleavy,Republican,"Second, there should be no change to the PFD without a vote of the people."
Alaska,Mike Dunleavy,Republican,The third constitutional amendment will call for no change in taxes without a vote of the People.
Alaska,Mike Dunleavy,Republican,"These three constitutional amendments will require that both the people of Alaska and their elected officials work closely together to secure our future. The People are the key to a permanent fiscal plan. Without the People’s support, any plan put in place by the Legislature will always be in doubt."
Alaska,Mike Dunleavy,Republican,"Another key component in securing Alaska’s future are investments and jobs. Politicians often talk about policies and laws, but what Alaskans really care about, are jobs, opportunities, and individual freedoms. With jobs come independence, self-reliance, self-respect, thriving communities, and hope for the future."
Alaska,Mike Dunleavy,Republican,"There’s no doubt our economy is struggling. There’s no doubt when people don’t have opportunities, hope fades."
Alaska,Mike Dunleavy,Republican,"While the rest of the country’s economy has been booming for years, Alaska remains mired in recession with the worst unemployment rate in the nation. Let that sink in for a moment."
Alaska,Mike Dunleavy,Republican,I will be a relentless advocate for turning this around. I’ve said that we’re going to make Alaska “open for business” – and that’s exactly what we’re going to do.
Alaska,Mike Dunleavy,Republican,"We often talk about diversifying the economy. The irony is, years ago, some would say Alaska had more of a diversified economy than we do today. We had more Alaskans engaged in commercial fishing, mining, agriculture, and a once-robust timber industry."
Alaska,Mike Dunleavy,Republican,"However, since Prudhoe Bay came online, we have become more narrowly focused on oil and government programs as the basis for our economy, while neglecting other opportunities that could create more jobs and wealth for our state."
Alaska,Mike Dunleavy,Republican,"For Alaska to fully realize our potential, including our location on the globe, our vast resources, and unbridled quality of life, we must look to other industries and investments to come to Alaska."
Alaska,Mike Dunleavy,Republican,"As a result, we have put together a team that will market Alaska to the world. It’s a team of experts with backgrounds in finance, marketing, and research that will inform investors, industries, and individuals that Alaska is open for business and we want new business here."
Alaska,Mike Dunleavy,Republican,Our location on the globe is a distinct advantage.
Alaska,Mike Dunleavy,Republican,The third-busiest cargo hub in the world is also an advantage to doing business here in Alaska.
Alaska,Mike Dunleavy,Republican,Our proximity to Asia and Europe is an advantage.
Alaska,Mike Dunleavy,Republican,Our quality of life is a distinct advantage as well.
Alaska,Mike Dunleavy,Republican,"Alaska doesn’t have to be just a resource state. We have so much more to offer. It is my goal to be able to report to you in the near future about all of the new industries coming to Alaska, because of these efforts."
Alaska,Mike Dunleavy,Republican,"For those who have little hope that Alaska can diversify its economy, we need only to look to two small Alaska companies that, through good old-fashioned capitalism and entrepreneurship, created thriving businesses right here in our state."
Alaska,Mike Dunleavy,Republican,"One of these businesses, Triverus, is located in Palmer and owned by Hans Vogel."
